Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-12-30,00:00:37,28.7,28.78,28.96
2025-12-30,00:30:40,30.0,30.32,29.42
2025-12-30,01:00:34,25.3,29.40,28.95
2025-12-30,01:30:40,26.8,29.10,29.40
2025-12-30,02:00:40,29.4,30.83,30.22
2025-12-30,02:30:34,24.4,29.17,28.98
2025-12-30,03:00:38,26.4,28.87,28.88
2025-12-30,03:30:52,39.4,28.58,30.42
2025-12-30,04:00:37,23.5,28.89,28.88
2025-12-30,04:30:42,23.8,28.90,28.63
2025-12-30,05:00:39,21.6,28.60,29.35
2025-12-30,05:30:36,20.3,29.15,28.94
2025-12-30,06:00:35,29.6,25.51,29.43
2025-12-30,06:30:39,29.0,28.70,28.63
2025-12-30,07:00:38,23.4,29.08,28.87
2025-12-30,07:30:34,26.8,28.05,28.82
2025-12-30,08:00:34,20.9,29.15,29.91
2025-12-30,08:30:49,32.4,31.30,28.96
2025-12-30,09:00:37,27.3,29.42,28.93
2025-12-30,09:30:42,27.9,30.90,29.31
2025-12-30,10:00:39,28.8,10.43,28.83
2025-12-30,10:30:41,23.9,11.96,28.49
2025-12-30,11:00:41,20.8,16.04,28.57
2025-12-30,11:30:36,26.5,17.97,29.06
2025-12-30,12:06:20,0.0,0.00,0.00
2025-12-30,12:07:45,29.5,17.94,29.31
2025-12-30,12:30:38,30.8,8.66,30.76
2025-12-30,13:00:34,26.4,22.65,29.04
2025-12-30,13:30:49,23.1,21.93,28.99
2025-12-30,14:00:40,40.5,7.50,29.15
2025-12-30,14:30:39,26.7,26.97,29.66
2025-12-30,15:00:43,36.0,21.92,29.81
2025-12-30,15:30:44,27.5,23.45,30.63
2025-12-30,16:00:45,38.2,17.89,29.24
2025-12-30,16:30:40,28.5,11.53,30.06
2025-12-30,17:00:44,32.2,21.04,29.56
2025-12-30,17:27:19,24.8,27.86,29.46
2025-12-30,17:30:34,31.3,17.64,29.38
2025-12-30,18:00:40,29.9,28.07,29.00
2025-12-30,18:30:43,31.8,17.43,30.90
2025-12-30,19:00:50,63.4,7.21,28.83
2025-12-30,19:30:45,88.8,4.26,23.13
2025-12-30,20:00:50,92.7,1.76,20.54
2025-12-30,20:30:50,84.7,4.95,19.37
2025-12-30,21:00:50,83.6,1.30,16.52
2025-12-30,21:31:01,84.9,1.15,28.83
2025-12-30,22:00:50,86.8,0.85,26.59
2025-12-30,22:30:20,0.0,0.00,0.00
2025-12-30,23:00:50,166.5,7.55,30.95
2025-12-30,23:30:34,32.1,28.43,29.18
