Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-12-01,00:00:35,20.8,28.44,28.97
2025-12-01,00:30:37,20.1,28.69,28.70
2025-12-01,01:00:35,18.3,28.50,28.89
2025-12-01,01:30:41,18.0,28.76,29.78
2025-12-01,02:00:36,17.4,29.10,29.05
2025-12-01,02:30:37,20.8,28.83,28.95
2025-12-01,03:00:37,21.0,29.09,28.87
2025-12-01,03:30:39,22.4,28.45,28.95
2025-12-01,04:00:40,16.6,29.52,29.28
2025-12-01,04:30:44,39.8,28.56,28.60
2025-12-01,05:00:36,19.0,28.61,28.91
2025-12-01,05:30:39,18.4,28.71,28.62
2025-12-01,06:00:17,0.0,0.00,0.00
2025-12-01,06:30:37,30.8,28.27,29.64
2025-12-01,07:00:38,21.3,28.95,29.55
2025-12-01,07:30:38,19.2,30.25,28.86
2025-12-01,08:00:13,28.5,9.51,28.93
2025-12-01,08:01:02,23.3,10.02,28.82
2025-12-01,08:30:46,22.7,29.47,29.13
2025-12-01,09:00:37,35.9,24.52,29.31
2025-12-01,09:30:32,31.0,12.83,28.71
2025-12-01,10:00:41,23.6,28.68,28.79
2025-12-01,10:30:42,50.1,11.33,29.83
2025-12-01,11:00:43,25.3,28.17,28.80
2025-12-01,11:30:35,36.3,29.40,29.02
2025-12-01,12:00:43,30.8,11.79,29.04
2025-12-01,12:30:43,33.4,25.98,28.78
2025-12-01,13:00:45,26.7,17.86,29.49
2025-12-01,13:30:47,28.0,23.21,30.57
2025-12-01,14:00:46,27.5,20.41,30.60
2025-12-01,14:30:41,27.2,12.66,28.75
2025-12-01,15:00:37,28.9,23.08,29.68
2025-12-01,15:30:36,33.6,28.33,29.00
2025-12-01,16:00:47,26.4,29.47,28.10
2025-12-01,16:21:38,22.2,7.72,29.00
2025-12-01,16:30:37,31.3,8.99,29.28
2025-12-01,17:00:37,30.7,13.46,30.15
2025-12-01,17:30:39,20.4,12.82,30.34
2025-12-01,18:00:39,27.5,27.20,29.97
2025-12-01,18:30:43,26.0,13.05,32.08
2025-12-01,19:00:39,24.9,22.11,29.26
2025-12-01,19:30:53,63.9,5.29,30.22
2025-12-01,20:00:49,61.4,6.43,24.47
2025-12-01,20:30:50,43.7,4.60,25.14
2025-12-01,21:00:47,25.9,14.76,31.62
2025-12-01,21:30:43,64.8,24.25,21.43
2025-12-01,22:00:47,49.8,5.01,26.70
2025-12-01,22:30:35,40.8,18.99,32.59
2025-12-01,23:00:37,23.8,25.16,29.30
2025-12-01,23:30:37,26.9,24.66,29.02
