Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-10-03,00:00:42,20.3,29.06,28.50
2025-10-03,00:30:41,23.2,28.46,28.65
2025-10-03,01:00:38,22.9,29.11,28.73
2025-10-03,01:30:42,23.1,28.49,28.49
2025-10-03,02:00:42,30.1,29.04,28.86
2025-10-03,02:30:45,27.7,30.98,28.90
2025-10-03,03:00:39,30.2,29.29,29.19
2025-10-03,03:30:46,19.9,30.65,29.11
2025-10-03,04:00:38,20.5,29.24,29.15
2025-10-03,04:30:41,28.4,28.55,29.12
2025-10-03,05:00:38,26.9,28.61,29.34
2025-10-03,05:30:41,29.9,28.52,28.60
2025-10-03,06:00:40,22.3,28.73,28.87
2025-10-03,06:30:41,27.0,28.52,28.98
2025-10-03,07:00:41,23.6,28.58,28.75
2025-10-03,07:30:44,23.0,28.47,29.22
2025-10-03,08:00:46,26.9,28.54,29.07
2025-10-03,08:30:38,22.7,28.71,29.17
2025-10-03,09:00:40,29.9,28.60,28.59
2025-10-03,09:30:46,20.0,29.94,28.62
2025-10-03,10:00:38,27.4,30.25,29.22
2025-10-03,10:30:39,27.5,29.13,29.00
2025-10-03,11:00:42,19.9,28.31,28.96
2025-10-03,11:30:41,24.6,28.68,28.83
2025-10-03,12:00:42,21.2,30.48,29.01
2025-10-03,12:30:45,38.4,29.82,28.90
2025-10-03,13:00:41,21.3,28.66,28.87
2025-10-03,13:09:13,18.9,30.88,28.82
2025-10-03,13:30:43,20.4,28.09,28.70
2025-10-03,14:00:38,23.0,28.86,29.00
2025-10-03,14:30:43,22.1,29.06,28.56
2025-10-03,15:01:20,25.6,30.44,29.42
2025-10-03,15:30:40,21.8,28.75,29.54
2025-10-03,16:00:40,22.7,28.69,28.79
2025-10-03,16:30:48,18.9,28.43,29.60
2025-10-03,17:00:36,22.7,28.63,28.80
2025-10-03,17:30:39,20.7,28.45,28.82
2025-10-03,18:00:38,26.6,27.91,29.43
2025-10-03,18:30:37,24.6,27.31,29.91
2025-10-03,19:00:35,22.1,26.92,30.25
2025-10-03,19:30:46,31.2,24.31,27.44
2025-10-03,20:00:42,43.3,27.22,30.02
2025-10-03,20:30:43,30.1,25.39,29.02
2025-10-03,21:00:42,51.1,29.32,31.06
2025-10-03,21:30:42,29.0,25.70,30.12
2025-10-03,22:00:16,0.0,0.00,0.00
2025-10-03,22:30:34,28.9,28.83,29.80
2025-10-03,23:00:45,36.0,30.52,30.06
2025-10-03,23:30:41,23.9,28.66,29.51
