Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-07-23,00:00:38,20.0,28.59,29.35
2025-07-23,00:30:46,20.6,28.57,28.72
2025-07-23,01:00:36,20.7,28.49,28.73
2025-07-23,01:30:44,19.8,28.52,28.65
2025-07-23,02:00:37,21.6,28.69,29.05
2025-07-23,02:30:44,21.9,28.43,28.77
2025-07-23,03:00:34,19.6,28.48,29.02
2025-07-23,03:30:42,20.2,29.39,28.60
2025-07-23,04:00:36,20.0,28.54,28.81
2025-07-23,04:30:38,19.8,28.97,28.88
2025-07-23,05:00:37,21.7,28.43,29.25
2025-07-23,05:30:44,19.4,28.79,28.80
2025-07-23,06:00:35,20.4,28.60,28.77
2025-07-23,06:30:37,23.1,28.37,28.50
2025-07-23,07:00:41,21.4,28.73,28.77
2025-07-23,07:30:42,22.8,29.08,28.92
2025-07-23,07:51:27,25.0,28.47,30.00
2025-07-23,08:00:35,24.3,27.20,28.83
2025-07-23,08:30:40,19.4,28.78,29.32
2025-07-23,09:00:43,34.1,18.84,29.19
2025-07-23,09:30:39,22.4,29.11,28.94
2025-07-23,10:00:36,21.7,28.63,29.22
2025-07-23,10:30:43,22.1,28.66,28.89
2025-07-23,11:00:37,20.1,28.65,29.66
2025-07-23,11:30:41,26.5,28.73,29.08
2025-07-23,11:42:13,28.2,28.40,29.59
2025-07-23,12:00:34,22.6,28.85,29.53
2025-07-23,12:30:46,21.9,28.57,29.16
2025-07-23,13:00:40,22.0,28.67,29.18
2025-07-23,13:30:47,21.9,29.15,29.24
2025-07-23,14:00:41,26.4,28.79,29.24
2025-07-23,14:25:47,26.3,26.61,29.18
2025-07-23,14:30:50,20.7,28.70,29.34
2025-07-23,15:00:41,19.5,28.72,29.52
2025-07-23,15:30:45,26.9,27.85,29.67
2025-07-23,16:00:40,29.4,26.71,30.28
2025-07-23,16:30:52,33.8,27.54,34.53
2025-07-23,17:00:38,24.2,27.88,31.26
2025-07-23,17:30:51,21.1,27.06,31.18
2025-07-23,18:00:42,25.4,27.31,29.74
2025-07-23,18:30:49,19.2,28.60,29.03
2025-07-23,19:00:39,19.7,27.17,29.81
2025-07-23,19:30:53,45.2,23.03,29.52
2025-07-23,20:00:41,17.1,27.43,30.98
2025-07-23,20:30:51,20.7,28.21,28.66
2025-07-23,21:00:41,19.7,23.12,29.21
2025-07-23,21:30:50,20.4,27.26,32.03
2025-07-23,22:00:37,22.2,28.19,30.47
2025-07-23,22:30:53,20.6,27.62,30.77
2025-07-23,23:00:37,22.9,27.57,30.42
2025-07-23,23:30:49,18.5,28.41,28.90
