Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-10-24,00:00:12,0.0,0.00,0.00
2025-10-24,00:30:11,0.0,0.00,0.00
2025-10-24,01:00:11,0.0,0.00,0.00
2025-10-24,01:30:11,0.0,0.00,0.00
2025-10-24,02:00:11,0.0,0.00,0.00
2025-10-24,02:30:11,0.0,0.00,0.00
2025-10-24,03:00:11,0.0,0.00,0.00
2025-10-24,03:30:11,0.0,0.00,0.00
2025-10-24,04:00:11,0.0,0.00,0.00
2025-10-24,04:30:11,0.0,0.00,0.00
2025-10-24,05:00:11,0.0,0.00,0.00
2025-10-24,05:30:12,0.0,0.00,0.00
2025-10-24,06:00:11,0.0,0.00,0.00
2025-10-24,06:30:11,0.0,0.00,0.00
2025-10-24,07:00:11,0.0,0.00,0.00
2025-10-24,07:30:11,0.0,0.00,0.00
2025-10-24,08:00:11,0.0,0.00,0.00
2025-10-24,08:30:11,0.0,0.00,0.00
2025-10-24,09:00:11,0.0,0.00,0.00
2025-10-24,09:30:11,0.0,0.00,0.00
2025-10-24,10:00:11,0.0,0.00,0.00
2025-10-24,10:30:11,0.0,0.00,0.00
2025-10-24,11:00:11,0.0,0.00,0.00
2025-10-24,11:30:11,0.0,0.00,0.00
2025-10-24,11:34:00,0.0,0.00,0.00
2025-10-24,12:00:11,0.0,0.00,0.00
2025-10-24,12:30:11,0.0,0.00,0.00
2025-10-24,13:00:11,0.0,0.00,0.00
2025-10-24,13:30:11,0.0,0.00,0.00
2025-10-24,14:00:11,0.0,0.00,0.00
2025-10-24,14:30:11,0.0,0.00,0.00
2025-10-24,15:00:35,34.6,26.99,28.77
2025-10-24,15:30:33,25.0,22.54,29.44
