Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2026-02-07,00:00:35,20.0,27.19,29.11
2026-02-07,00:30:40,28.7,28.61,28.97
2026-02-07,01:00:38,23.1,28.80,28.82
2026-02-07,01:30:34,26.6,29.23,28.77
2026-02-07,02:00:36,36.9,29.15,29.55
2026-02-07,02:30:38,31.2,29.03,28.93
2026-02-07,03:00:37,21.6,28.62,28.73
2026-02-07,03:30:42,27.6,28.87,29.26
2026-02-07,04:00:34,25.5,29.03,28.96
2026-02-07,04:30:35,22.2,28.72,29.08
2026-02-07,05:00:38,29.9,29.16,28.73
2026-02-07,05:30:43,19.2,29.08,29.07
2026-02-07,06:00:42,30.9,28.93,28.91
2026-02-07,06:30:37,22.9,28.47,28.82
2026-02-07,07:00:37,26.8,30.65,29.11
2026-02-07,07:30:31,37.3,29.54,28.75
2026-02-07,08:00:41,24.6,31.55,28.90
2026-02-07,08:30:41,20.7,28.12,29.09
2026-02-07,09:00:49,34.0,23.99,29.50
2026-02-07,09:30:34,35.6,29.83,28.85
2026-02-07,14:35:14,27.9,28.20,30.10
2026-02-07,15:00:35,33.7,27.84,30.97
2026-02-07,15:30:50,38.8,7.46,31.73
2026-02-07,16:00:37,27.7,29.25,29.09
2026-02-07,16:20:48,31.2,21.15,29.31
2026-02-07,16:31:06,19.9,28.42,29.07
2026-02-07,17:01:04,19.7,28.77,29.80
2026-02-07,17:31:06,33.3,29.26,29.35
2026-02-07,18:01:13,19.8,30.07,29.29
2026-02-07,18:31:14,32.4,29.85,30.44
2026-02-07,19:01:10,28.7,26.76,30.05
2026-02-07,19:31:11,31.4,10.86,29.66
2026-02-07,20:01:13,24.1,29.84,29.48
2026-02-07,20:31:12,34.9,0.93,30.92
2026-02-07,21:00:40,29.5,11.09,30.13
2026-02-07,21:30:52,44.0,6.82,31.67
2026-02-07,22:00:41,50.0,22.05,25.73
2026-02-07,22:30:49,44.0,17.99,29.73
2026-02-07,23:00:36,24.1,28.01,29.32
2026-02-07,23:30:35,21.5,28.42,29.39
