Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-11-18,00:00:37,31.7,27.16,28.63
2025-11-18,00:30:40,28.0,28.66,28.36
2025-11-18,01:00:35,26.2,28.65,28.76
2025-11-18,01:30:44,21.7,28.40,29.40
2025-11-18,02:00:34,15.2,28.41,28.77
2025-11-18,02:30:38,25.9,28.43,28.84
2025-11-18,03:00:34,26.4,28.77,28.88
2025-11-18,03:30:32,29.7,28.96,28.72
2025-11-18,04:00:35,17.7,28.83,28.74
2025-11-18,04:30:37,19.4,28.42,28.97
2025-11-18,05:00:33,15.2,28.37,28.70
2025-11-18,05:25:01,15.0,28.38,28.92
2025-11-18,05:30:41,15.0,28.37,29.19
2025-11-18,06:00:36,16.8,28.49,29.03
2025-11-18,06:30:42,18.2,28.48,29.22
2025-11-18,07:00:38,16.4,28.66,28.91
2025-11-18,07:30:37,21.3,28.48,28.80
2025-11-18,08:00:38,23.6,28.24,28.88
2025-11-18,08:30:08,27.7,28.66,29.91
2025-11-18,08:30:38,20.0,28.67,29.11
2025-11-18,09:00:42,20.2,31.53,29.17
2025-11-18,09:30:38,23.7,28.71,30.82
2025-11-18,10:00:39,35.6,17.19,28.97
2025-11-18,10:30:40,19.3,19.51,29.36
2025-11-18,11:00:46,23.7,19.61,28.88
2025-11-18,11:30:37,26.9,17.95,29.97
2025-11-18,12:00:36,19.9,25.54,29.20
2025-11-18,12:30:33,15.4,29.01,29.21
2025-11-18,13:00:46,31.6,16.63,30.13
2025-11-18,13:30:43,30.3,11.82,30.06
2025-11-18,13:40:40,31.5,13.51,28.82
2025-11-18,14:00:41,26.7,15.44,29.24
2025-11-18,14:30:46,33.5,15.39,29.42
2025-11-18,15:00:44,37.6,19.33,29.00
2025-11-18,15:30:34,22.3,17.89,29.34
2025-11-18,16:00:36,28.8,23.15,28.82
2025-11-18,16:38:58,14.8,24.34,29.21
2025-11-18,17:00:44,27.7,31.18,29.31
2025-11-18,17:09:50,19.0,29.38,29.23
2025-11-18,17:30:38,22.8,21.56,28.70
2025-11-18,18:00:42,31.1,29.39,30.81
2025-11-18,18:12:14,19.9,28.40,29.28
2025-11-18,18:31:09,19.8,28.43,29.38
2025-11-18,19:01:10,18.4,27.50,29.68
2025-11-18,19:31:08,19.9,27.58,29.61
2025-11-18,20:01:02,16.4,25.37,29.81
2025-11-18,20:31:10,19.4,28.33,30.84
2025-11-18,21:01:11,24.6,28.42,28.63
2025-11-18,21:31:08,20.1,28.36,29.06
2025-11-18,22:01:11,19.9,26.28,32.80
2025-11-18,22:31:16,18.4,27.42,32.69
2025-11-18,23:01:08,19.4,28.07,29.08
2025-11-18,23:31:12,19.9,28.84,27.16
