Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-12-19,14:42:35,30.3,21.56,30.57
2025-12-19,15:00:43,37.0,30.74,28.98
2025-12-19,15:30:40,26.5,31.34,29.08
2025-12-19,16:00:36,29.0,16.65,28.97
2025-12-19,16:30:44,23.0,30.27,28.72
2025-12-19,17:00:43,15.9,28.90,28.79
2025-12-19,17:30:35,21.9,26.10,29.15
2025-12-19,18:00:41,17.3,15.25,28.65
2025-12-19,18:30:45,30.9,18.27,30.21
2025-12-19,19:00:44,34.0,24.32,30.04
2025-12-19,19:30:50,49.5,2.91,26.51
2025-12-19,20:00:44,22.1,4.52,27.70
2025-12-19,20:30:46,53.0,2.32,29.71
2025-12-19,21:00:37,26.1,11.31,29.03
2025-12-19,21:30:45,25.3,3.20,32.55
2025-12-19,22:00:47,32.1,5.14,31.81
2025-12-19,22:30:46,34.4,15.44,30.14
2025-12-19,23:00:44,25.2,27.51,30.61
2025-12-19,23:30:39,21.8,27.89,29.16
