Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2026-01-26,00:00:43,28.9,29.98,29.63
2026-01-26,00:30:38,28.1,28.43,29.20
2026-01-26,01:00:37,30.1,28.98,28.55
2026-01-26,01:30:17,0.0,0.00,0.00
2026-01-26,02:00:38,23.4,28.85,30.74
2026-01-26,02:30:13,0.0,0.00,0.00
2026-01-26,03:00:37,21.8,28.40,28.40
2026-01-26,03:30:37,22.0,28.61,29.81
2026-01-26,04:00:39,23.9,28.76,29.10
2026-01-26,04:30:41,19.4,28.65,29.34
2026-01-26,05:00:40,30.7,29.46,28.89
2026-01-26,05:30:33,26.1,28.97,29.62
2026-01-26,06:00:48,29.7,30.45,29.50
2026-01-26,06:30:34,38.1,28.68,29.21
2026-01-26,07:00:32,36.3,28.47,28.71
2026-01-26,07:30:39,30.5,25.40,29.12
2026-01-26,08:00:33,35.5,26.60,29.02
2026-01-26,08:30:36,27.5,28.57,29.06
2026-01-26,09:00:43,25.4,24.88,28.78
2026-01-26,09:30:48,29.1,29.64,32.30
2026-01-26,10:00:43,26.2,21.70,29.96
2026-01-26,10:30:41,29.2,9.32,30.42
2026-01-26,11:00:45,27.9,17.83,29.81
2026-01-26,11:30:45,21.0,7.16,29.42
2026-01-26,12:00:34,27.6,5.46,26.51
2026-01-26,12:30:52,63.2,5.80,31.15
2026-01-26,13:00:45,30.0,22.31,31.10
2026-01-26,13:30:44,140.8,7.57,30.37
2026-01-26,14:00:46,50.5,8.38,28.88
2026-01-26,14:30:38,39.1,28.96,30.72
2026-01-26,15:00:46,28.3,17.38,29.99
2026-01-26,15:30:37,45.4,5.74,31.85
2026-01-26,16:00:30,35.1,28.13,29.86
2026-01-26,16:30:36,36.6,28.77,29.41
2026-01-26,17:00:38,43.0,25.40,29.02
2026-01-26,17:30:36,25.4,28.29,30.49
2026-01-26,18:00:42,34.0,31.03,29.76
2026-01-26,18:30:47,37.6,19.91,30.34
2026-01-26,19:00:43,43.6,26.43,30.42
2026-01-26,19:30:51,49.4,4.10,26.10
2026-01-26,20:00:47,83.3,1.83,28.32
2026-01-26,20:30:57,80.3,2.45,28.69
2026-01-26,21:00:34,0.0,0.00,0.00
2026-01-26,21:30:50,61.3,9.25,31.14
2026-01-26,22:00:47,49.7,4.55,30.92
2026-01-26,22:30:11,0.0,0.00,0.00
2026-01-26,23:00:11,0.0,0.00,0.00
2026-01-26,23:30:11,0.0,0.00,0.00
