Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-12-18,00:00:36,21.4,28.48,28.90
2025-12-18,00:30:41,22.6,28.48,29.73
2025-12-18,01:00:37,18.0,28.49,28.60
2025-12-18,01:30:36,19.8,28.65,28.81
2025-12-18,02:00:41,18.3,30.58,28.76
2025-12-18,02:30:32,29.5,28.50,28.96
2025-12-18,03:00:38,16.5,29.35,28.80
2025-12-18,03:30:37,20.7,28.62,29.30
2025-12-18,04:00:37,14.9,28.84,28.96
2025-12-18,04:30:40,17.8,28.41,28.83
2025-12-18,05:00:37,17.7,28.75,28.54
2025-12-18,05:30:46,37.3,30.35,28.98
2025-12-18,06:00:36,18.4,28.82,28.89
2025-12-18,06:30:34,23.8,22.85,29.18
2025-12-18,07:00:36,22.7,28.42,28.82
2025-12-18,07:30:33,21.9,28.67,29.16
2025-12-18,08:00:36,23.4,28.41,28.81
2025-12-18,08:30:49,33.4,29.36,29.08
2025-12-18,09:00:36,20.6,28.30,28.56
2025-12-18,09:30:39,27.2,26.27,28.75
2025-12-18,10:00:36,15.9,11.99,29.07
2025-12-18,10:30:42,27.7,11.34,28.72
2025-12-18,11:00:42,18.2,10.82,29.11
2025-12-18,11:30:37,15.8,22.86,29.22
2025-12-18,12:00:29,20.5,21.02,28.91
2025-12-18,12:30:42,21.6,24.27,28.97
2025-12-18,13:00:36,21.6,21.99,29.95
2025-12-18,13:30:44,48.6,12.86,30.01
2025-12-18,14:00:40,24.9,15.47,32.05
2025-12-18,14:30:43,21.7,28.69,29.21
2025-12-18,15:00:39,25.0,27.40,28.50
2025-12-18,15:30:47,28.2,13.79,29.43
2025-12-18,16:00:38,25.4,24.46,29.48
2025-12-18,16:30:40,15.3,15.64,28.80
2025-12-18,17:00:31,31.1,11.31,29.02
2025-12-18,17:30:33,30.2,28.90,29.26
2025-12-18,18:00:43,16.4,18.85,29.90
2025-12-18,18:30:45,40.2,23.37,29.16
2025-12-18,19:00:41,33.7,28.62,29.89
2025-12-18,19:30:48,45.3,6.29,24.45
2025-12-18,20:00:39,30.4,15.78,25.62
2025-12-18,20:30:45,24.4,7.30,28.76
2025-12-18,21:00:20,0.0,0.00,0.00
2025-12-18,21:30:55,117.9,2.83,30.34
