Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-08-28,00:00:36,30.0,28.38,28.57
2025-08-28,00:30:36,29.9,29.18,28.72
2025-08-28,01:00:38,19.9,28.91,28.58
2025-08-28,01:30:39,19.9,27.80,28.70
2025-08-28,02:00:32,20.7,29.10,28.67
2025-08-28,02:30:40,19.9,28.41,28.54
2025-08-28,03:00:34,19.9,28.51,28.66
2025-08-28,03:30:36,23.6,29.62,28.82
2025-08-28,04:00:35,19.9,28.46,28.38
2025-08-28,04:30:33,29.7,28.42,28.93
2025-08-28,05:00:36,19.9,28.61,28.69
2025-08-28,05:30:39,19.9,28.43,28.73
2025-08-28,06:00:38,19.9,28.51,28.76
2025-08-28,06:30:39,19.9,28.51,28.77
2025-08-28,07:00:37,18.3,28.55,28.69
2025-08-28,07:30:37,29.9,28.13,28.15
2025-08-28,07:31:07,29.9,28.50,28.90
2025-08-28,08:00:33,29.9,28.44,28.79
2025-08-28,08:30:32,19.9,29.07,28.96
2025-08-28,09:00:34,19.8,28.38,28.60
2025-08-28,09:27:16,19.9,29.15,28.68
2025-08-28,09:30:31,0.0,0.00,0.00
2025-08-28,10:00:36,19.9,28.56,29.23
2025-08-28,10:30:43,19.9,28.48,28.63
2025-08-28,11:00:33,19.8,29.25,28.54
2025-08-28,11:30:40,33.9,28.69,28.11
2025-08-28,12:00:40,19.9,28.60,28.82
2025-08-28,12:30:43,19.9,28.97,28.42
2025-08-28,13:00:35,28.4,27.81,28.38
2025-08-28,13:30:35,28.3,28.88,28.47
2025-08-28,14:00:39,19.7,28.53,28.60
2025-08-28,14:30:38,23.9,27.83,28.82
2025-08-28,15:00:37,25.1,28.57,28.90
2025-08-28,15:30:37,19.9,28.19,27.59
2025-08-28,16:00:39,22.2,28.36,28.29
2025-08-28,16:30:38,21.5,28.27,28.44
2025-08-28,17:00:36,23.2,28.57,28.76
2025-08-28,17:30:34,28.1,28.62,29.02
2025-08-28,18:00:33,28.7,28.57,28.99
2025-08-28,18:30:38,19.9,28.50,28.79
2025-08-28,19:00:35,20.0,28.47,28.86
2025-08-28,19:30:32,26.7,27.81,28.84
2025-08-28,20:00:37,19.9,28.43,28.89
2025-08-28,20:30:37,19.9,28.51,28.65
2025-08-28,21:00:34,18.4,28.59,28.81
2025-08-28,21:30:38,20.7,28.35,28.57
2025-08-28,22:00:34,16.5,28.50,28.72
2025-08-28,22:30:37,15.0,27.29,28.37
2025-08-28,23:00:37,29.8,27.35,28.43
2025-08-28,23:30:41,16.5,26.93,28.62
