Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-07-20,00:00:41,20.0,28.49,28.78
2025-07-20,00:30:41,29.9,30.72,28.82
2025-07-20,01:00:38,20.5,28.47,28.95
2025-07-20,01:30:44,21.7,28.44,28.92
2025-07-20,02:00:42,20.6,30.60,29.03
2025-07-20,02:30:41,20.1,28.68,28.80
2025-07-20,03:00:42,19.1,30.72,28.76
2025-07-20,03:30:36,19.7,28.46,28.84
2025-07-20,04:00:35,19.9,29.06,28.81
2025-07-20,04:30:43,19.6,30.01,28.80
2025-07-20,05:00:37,22.2,28.65,28.64
2025-07-20,05:30:42,21.7,28.40,28.91
2025-07-20,06:00:41,19.9,29.96,28.60
2025-07-20,06:30:44,22.3,28.67,28.93
2025-07-20,07:00:33,28.9,29.09,30.00
2025-07-20,07:30:38,20.8,28.72,28.80
2025-07-20,08:00:37,20.4,29.50,29.00
2025-07-20,08:30:35,26.5,28.42,29.10
2025-07-20,09:00:39,26.2,28.60,28.91
2025-07-20,09:30:46,21.7,29.55,29.19
2025-07-20,10:00:37,23.5,28.52,28.69
2025-07-20,10:30:40,22.3,27.88,29.58
2025-07-20,11:00:36,31.6,29.10,29.20
2025-07-20,11:30:39,19.8,28.42,29.16
2025-07-20,12:00:46,22.9,25.08,30.62
2025-07-20,12:30:37,22.1,28.47,29.43
2025-07-20,13:00:36,22.0,28.42,29.57
2025-07-20,13:17:02,35.9,23.43,26.19
2025-07-20,13:30:52,27.7,28.82,29.51
2025-07-20,14:00:40,29.9,31.04,30.49
2025-07-20,14:30:46,40.0,28.84,31.41
2025-07-20,15:00:36,30.5,28.80,29.32
2025-07-20,15:30:44,22.0,29.19,30.03
2025-07-20,16:00:39,19.7,28.47,28.52
2025-07-20,16:30:43,22.4,28.61,29.44
2025-07-20,17:00:37,26.9,27.56,30.92
2025-07-20,17:30:41,28.9,29.03,28.34
2025-07-20,18:00:43,31.0,27.00,30.52
2025-07-20,18:30:35,28.3,26.94,29.63
2025-07-20,19:00:46,35.9,28.64,30.50
2025-07-20,19:30:43,30.3,27.20,30.99
2025-07-20,20:00:42,39.1,28.44,30.76
2025-07-20,20:30:46,30.7,28.21,28.74
2025-07-20,21:00:42,40.7,28.23,30.40
2025-07-20,21:30:44,28.6,28.90,29.36
2025-07-20,22:00:41,40.7,28.53,30.70
2025-07-20,22:30:51,24.0,28.09,29.40
2025-07-20,23:00:37,20.0,27.35,32.69
2025-07-20,23:30:28,0.0,0.00,0.00
