Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-11-02,00:00:36,15.1,28.72,28.83
2025-11-02,00:30:37,19.3,28.41,29.09
2025-11-02,01:00:34,22.6,29.58,29.99
2025-11-02,01:30:40,20.2,28.40,28.45
2025-11-02,02:00:38,21.1,28.51,28.62
2025-11-02,02:30:39,17.7,28.60,28.97
2025-11-02,03:00:38,15.1,28.74,28.82
2025-11-02,03:30:39,14.9,29.25,28.81
2025-11-02,04:00:41,19.6,28.81,28.91
2025-11-02,04:30:41,14.9,28.45,29.10
2025-11-02,05:00:38,16.8,28.42,28.69
2025-11-02,05:30:40,14.9,28.57,28.99
2025-11-02,06:00:37,29.8,28.62,29.05
2025-11-02,06:30:40,16.5,28.49,28.89
2025-11-02,07:00:39,19.9,28.47,28.91
2025-11-02,07:30:42,17.5,28.56,29.15
2025-11-02,08:00:32,24.1,28.59,29.72
2025-11-02,08:30:45,34.2,15.79,29.30
2025-11-02,09:00:36,28.3,30.07,29.22
2025-11-02,09:30:38,19.6,28.38,29.08
2025-11-02,10:00:36,25.8,28.55,29.34
2025-11-02,10:30:44,25.5,30.45,29.30
2025-11-02,11:00:41,24.4,23.69,29.11
2025-11-02,11:30:40,26.3,29.44,29.04
2025-11-02,11:42:04,30.7,29.89,30.01
2025-11-02,12:00:40,48.7,27.02,30.29
2025-11-02,12:15:21,20.9,28.44,28.56
2025-11-02,12:30:38,18.4,28.46,29.15
2025-11-02,13:00:34,24.2,27.96,29.50
2025-11-02,13:37:29,21.9,28.17,29.29
2025-11-02,14:00:46,23.7,29.56,29.58
2025-11-02,14:30:36,22.0,28.44,29.72
2025-11-02,15:00:45,44.3,25.23,29.78
2025-11-02,15:30:38,23.9,27.69,29.34
2025-11-02,16:00:44,20.5,22.39,30.88
2025-11-02,16:30:43,20.2,23.81,30.26
2025-11-02,17:00:32,23.4,28.03,28.91
2025-11-02,17:30:39,23.7,28.73,29.63
2025-11-02,18:00:47,28.2,26.96,30.34
2025-11-02,18:30:39,26.5,28.80,31.07
2025-11-02,19:00:45,22.7,26.93,31.64
2025-11-02,19:30:41,37.3,23.91,23.86
2025-11-02,20:00:42,20.3,19.08,29.27
2025-11-02,20:30:45,52.0,6.82,9.22
2025-11-02,21:00:48,23.8,3.25,30.00
2025-11-02,21:30:54,125.9,4.15,30.47
2025-11-02,22:00:39,39.2,6.10,29.80
2025-11-02,22:30:51,58.9,13.44,30.32
2025-11-02,23:00:41,29.9,30.30,29.33
2025-11-02,23:30:36,20.9,28.50,28.74
