Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-10-15,00:00:11,0.0,0.00,0.00
2025-10-15,00:30:12,0.0,0.00,0.00
2025-10-15,01:00:11,0.0,0.00,0.00
2025-10-15,01:30:11,0.0,0.00,0.00
2025-10-15,02:00:12,0.0,0.00,0.00
2025-10-15,02:30:11,0.0,0.00,0.00
2025-10-15,03:00:11,0.0,0.00,0.00
2025-10-15,03:30:12,0.0,0.00,0.00
2025-10-15,04:00:11,0.0,0.00,0.00
2025-10-15,04:30:11,0.0,0.00,0.00
2025-10-15,05:00:11,0.0,0.00,0.00
2025-10-15,05:30:11,0.0,0.00,0.00
2025-10-15,06:00:11,0.0,0.00,0.00
2025-10-15,06:30:11,0.0,0.00,0.00
2025-10-15,07:00:11,0.0,0.00,0.00
2025-10-15,07:03:07,0.0,0.00,0.00
2025-10-15,07:30:11,0.0,0.00,0.00
2025-10-15,08:30:31,22.3,28.81,28.57
2025-10-15,09:00:35,19.8,30.56,29.45
2025-10-15,09:30:27,35.1,28.80,30.06
2025-10-15,10:00:28,27.1,29.53,28.85
2025-10-15,10:30:28,25.6,29.31,28.93
2025-10-15,11:00:29,28.4,29.10,29.08
2025-10-15,11:30:25,0.0,0.00,0.00
2025-10-15,12:00:30,24.4,28.57,29.35
2025-10-15,12:16:39,25.2,29.39,29.47
2025-10-15,12:30:41,24.9,20.80,28.57
2025-10-15,13:00:42,20.7,31.15,28.70
2025-10-15,13:30:17,0.0,0.00,0.00
2025-10-15,14:06:44,25.6,29.04,29.33
2025-10-15,14:41:06,24.2,25.80,29.36
2025-10-15,15:00:44,23.5,28.28,28.78
2025-10-15,15:30:37,27.6,29.31,28.59
2025-10-15,16:00:38,22.8,27.64,28.87
2025-10-15,16:30:40,19.3,25.42,28.88
2025-10-15,17:00:39,18.8,27.95,29.06
2025-10-15,17:30:35,25.6,28.63,29.08
2025-10-15,18:00:34,26.6,28.49,29.05
2025-10-15,18:30:39,25.0,27.26,29.42
2025-10-15,19:00:42,22.0,27.76,28.27
2025-10-15,19:30:44,22.6,28.02,30.35
2025-10-15,20:00:45,20.5,27.56,30.35
2025-10-15,20:30:46,37.6,18.59,32.91
2025-10-15,21:00:31,29.2,27.91,31.34
2025-10-15,21:30:47,27.2,23.39,30.61
2025-10-15,22:00:36,26.0,28.59,29.94
2025-10-15,22:30:39,20.6,26.64,30.24
2025-10-15,23:00:39,19.8,24.57,29.52
2025-10-15,23:30:39,19.0,28.57,28.88
