Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-09-20,00:00:37,21.7,28.40,28.61
2025-09-20,00:30:38,17.5,26.38,29.11
2025-09-20,01:00:36,29.3,28.42,28.65
2025-09-20,01:30:37,20.4,28.59,28.84
2025-09-20,02:00:37,21.9,28.65,28.49
2025-09-20,02:30:41,19.0,28.46,28.95
2025-09-20,03:00:35,21.3,28.85,28.92
2025-09-20,03:30:42,18.1,31.25,28.61
2025-09-20,04:00:35,18.4,28.75,28.67
2025-09-20,04:30:32,18.9,28.81,28.88
2025-09-20,05:00:38,21.1,28.48,28.86
2025-09-20,05:30:35,22.4,28.64,28.74
2025-09-20,06:00:35,25.1,28.52,28.95
2025-09-20,06:30:38,18.3,28.60,28.70
2025-09-20,07:00:35,27.6,29.30,28.63
2025-09-20,07:30:38,21.5,28.44,28.77
2025-09-20,08:00:38,29.9,28.59,28.71
2025-09-20,08:30:37,20.2,28.96,28.95
2025-09-20,09:00:34,20.1,28.67,29.54
2025-09-20,09:30:40,23.0,28.68,29.01
2025-09-20,10:00:36,23.6,28.58,29.15
2025-09-20,10:30:37,20.1,28.45,29.26
2025-09-20,11:00:37,21.4,28.38,29.26
2025-09-20,11:30:36,26.4,28.53,28.56
2025-09-20,12:00:32,27.0,28.91,29.25
2025-09-20,12:30:38,23.3,28.48,28.86
2025-09-20,13:00:43,29.1,26.35,28.60
2025-09-20,13:30:42,31.9,28.90,29.09
2025-09-20,14:00:40,23.6,28.42,29.16
2025-09-20,14:30:38,23.1,25.91,28.81
2025-09-20,15:00:36,28.9,28.67,29.24
2025-09-20,15:30:40,29.9,25.59,29.12
2025-09-20,16:00:39,26.5,27.21,28.74
2025-09-20,16:30:37,24.1,24.10,28.78
2025-09-20,17:00:36,31.4,28.63,28.79
2025-09-20,17:30:38,23.6,28.57,29.09
2025-09-20,18:00:38,29.5,28.79,28.86
2025-09-20,19:48:26,37.4,28.97,29.36
2025-09-20,20:00:40,41.1,26.24,28.33
2025-09-20,20:30:41,26.4,26.34,29.26
2025-09-20,21:00:43,36.8,24.11,29.78
2025-09-20,21:30:38,26.3,18.77,28.45
2025-09-20,22:00:48,23.8,24.55,28.60
2025-09-20,22:30:39,25.1,27.09,28.78
2025-09-20,23:00:42,34.0,30.45,28.48
2025-09-20,23:30:41,26.3,28.95,28.47
