Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-07-26,00:00:36,19.7,28.45,29.11
2025-07-26,00:30:39,20.6,28.47,28.81
2025-07-26,01:00:37,18.9,28.88,28.96
2025-07-26,01:30:55,20.1,28.54,29.00
2025-07-26,02:00:37,20.8,28.57,28.88
2025-07-26,02:30:41,20.3,28.62,29.02
2025-07-26,03:00:38,22.5,28.45,28.58
2025-07-26,03:30:45,19.9,28.40,29.03
2025-07-26,04:00:39,19.2,28.47,28.45
2025-07-26,04:30:40,20.3,28.46,28.64
2025-07-26,05:00:35,20.7,28.61,29.00
2025-07-26,05:30:58,26.8,28.66,28.99
2025-07-26,06:00:32,24.9,29.56,28.39
2025-07-26,06:30:43,21.6,28.42,28.81
2025-07-26,07:00:36,19.9,28.43,29.01
2025-07-26,07:30:39,22.5,28.43,29.07
2025-07-26,08:00:36,20.3,28.88,28.67
2025-07-26,08:30:37,38.6,29.44,28.93
2025-07-26,09:00:36,24.5,28.53,28.91
2025-07-26,09:26:55,19.8,28.45,29.78
2025-07-26,09:31:08,19.3,28.48,28.80
2025-07-26,09:47:14,39.6,28.59,29.10
2025-07-26,10:00:37,20.2,28.69,29.14
2025-07-26,10:30:58,23.2,28.57,28.73
2025-07-26,11:00:37,20.7,28.25,29.75
2025-07-26,11:30:43,21.6,28.40,29.20
2025-07-26,12:00:37,20.1,28.63,28.94
2025-07-26,12:30:46,20.7,29.62,29.52
2025-07-26,13:00:38,28.9,28.32,30.10
2025-07-26,13:08:39,20.0,27.95,29.75
2025-07-26,13:30:38,19.9,27.67,29.50
2025-07-26,14:00:37,49.9,27.70,30.43
2025-07-26,14:30:38,19.9,29.15,29.46
2025-07-26,15:00:38,20.2,28.20,31.02
2025-07-26,15:30:46,19.9,28.42,29.59
2025-07-26,16:00:48,29.3,28.75,9.10
2025-07-26,16:30:39,20.7,27.60,29.58
2025-07-26,17:00:34,20.0,28.20,28.45
2025-07-26,17:30:43,19.9,27.49,30.21
2025-07-26,18:00:38,27.5,28.19,29.43
2025-07-26,18:30:54,29.0,28.28,25.15
2025-07-26,19:00:45,20.1,28.47,31.31
2025-07-26,19:30:43,19.9,27.17,29.49
2025-07-26,20:00:40,19.6,27.36,29.50
2025-07-26,20:30:39,19.9,28.05,29.44
2025-07-26,21:00:36,19.9,27.30,30.31
2025-07-26,21:30:50,19.8,28.38,30.80
2025-07-26,22:00:34,22.5,27.73,31.81
2025-07-26,22:30:51,39.9,29.85,1.97
2025-07-26,23:00:39,20.0,28.58,29.10
2025-07-26,23:30:46,19.9,27.84,29.24
